IPAddress,Q_RecaptchaScore,Informed Consent ,Gender,Gender_4_TEXT,Age,Ethnicity,Hispanic or Latino,Education,Employment,Income,Residency-State,Residency-Community,Residency-Community_4_TEXT,Current Status,Current Status_4_TEXT,Social Media,Social Media_10_TEXT,Political Ideology _1,Party Affiliation _1,Voting,Criminal Record,Criminal Record_3_TEXT,Q127_First Click,Q127_Last Click,Q127_Page Submit,Q127_Click Count,G1-Pew-ABRTLGL,G1-Pew-ABRTN_MED,G1-Pew-ABORTION3,G1-Pew-ABORTION4,G2-ImmigrationPop,G2-ImmigrationPolicy,G2-ImmPolicyImpact,Q128_First Click,Q128_Last Click,Q128_Page Submit,Q128_Click Count,G2-DV1,G2-DV2,G2-DV3-6_1,G2-DV3-6_2,G2-DV3-6_3,G2-DV3-6_4,Q129_First Click,Q129_Last Click,Q129_Page Submit,Q129_Click Count,G3-Express,G3-Backlash,Q130_First Click,Q130_Last Click,Q130_Page Submit,Q130_Click Count,G4-Fair,G4-Trust,G4-Decision,G5-PreT-USCourtTrust,G5-PreT-IOTrust,G5-PreT-IOparticipat,G5-PreT-InterCase,G5-PreT-ICCfimiliar,Q131_First Click,Q131_Last Click,Q131_Page Submit,Q131_Click Count,G5-PostT-Relaible,G5-PostT-Fair,G5-PostT-Effective,G5-PostT-Political,Manipulation Check,Manipulation Check_DO,rid,zip,Create New Field or Choose From Dropdown...,Group1-Abortion_DO,Group2-Immigration-PostT_DO,Group3-Speech_DO,Group4-SCOTUS_DO,Group5-ICC-PostT_DO
23.114.254.34,0.5,Yes,Female,,1953,White,Not Hispanic or Latino,Associates or technical degree,Retired,Prefer not to say,Mississippi,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Moderate,Independent,Neither - did not vote/voted for an independent candidate,No,,1.216,74.854,76.946,19,Illegal in most cases,Legal,Very difficult,Easier than it is now,A moderate population,Neither adequate nor inadequate,Somewhat,1.391,77.054,77.828,20,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,7.94,28.312,31.338,17,6,2,5.934,50.736,51.337,25,10-Most Fair,7,Yes,A moderate amount,Some,Very important,Unsure,Never heard of it,6.628,62.52,63.268,16,Neutral,Neutral,Somewhat ineffective,Neutral,AI application in campaign finance,Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court|AI application in campaign finance,68110d9d-5185-af2f-f24d-057645dc964b,39563,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Friends|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
12.75.40.5,0.8999999761581421,Yes,Male,,1960,White,Not Hispanic or Latino,High school diploma or GED,Other,"Less than $25,000",Minnesota,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Very Concservative,Independent,Neither - did not vote/voted for an independent candidate,No,,0.941,35.971,36.711,17,Illegal in all cases,Illegal,Somewhat easy,Harder than it is now,A very large population,Not at all adequate,Extremely impacted,1.255,43.955,44.4,23,Decreased,Much more safer,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2.398,27.636,31.299,13,10 -Very Likely,10 -Very Likely,9.282,65.884,67.364,27,10-Most Fair,1-Not trust at all,No,Not at all,None at all,Not important at all,"No, the U.S. should stay out",Never heard of it,1.954,16.849,31.296,14,Very unreliable,Very unreliableVery unfair,Very ineffective,Extremely biased,AI application in campaign finance,A case decided by the U.S. Supreme Court|AI application in campaign finance|Immigration policy and law enforcement|Expressing opinions on a political issue,68110e45-6c26-26b9-4173-1548579d62da,58078,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
73.6.50.123,0.699999988,Yes,Male,,1947,White,Not Hispanic or Latino,Bachelor’s degree,Retired,"$50,000-$74,999",Texas,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Very Liberal,Independent,Democratic candidate,No,,40.026,63.618,65.675,7,Legal  in all cases,Legal,Very difficult,Easier than it is now,A moderate population,Very adequate,Somewhat,35.254,67.105,69.101,10,Decreased,Much more safer,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,13.022,25.441,31.201,5,10 -Very Likely,10 -Very Likely,2.768,73.338,74.845,7,10-Most Fair,4,No,Not too much,Some,Extremely important,"Yes, even without direct U.S. interest",Somewhat familiar,5.774,43.353,45.224,8,Neutral,Somewhat fair,Somewhat ineffective,Extremely biased,AI application in campaign finance,A case decided by the U.S. Supreme Court|Immigration policy and law enforcement|Expressing opinions on a political issue|AI application in campaign finance,68110da8-9481-8460-aabc-ab2143ff9da4,77043,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-StudentOrg|G3-Express|G3-Backlash|Q129,G4-1L8C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
172.56.41.126,0.8999999761581421,Yes,Male,,1976,White,Not Hispanic or Latino,Associates or technical degree,Working full-time,"$100,000-$149,999",Texas,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,TikTok,,Moderate,Lean Republican,Republican candidate,No,,3.313,38.254,39.829,12,Legal  in all cases,Legal,Somewhat difficult,Easier than it is now,A large population,Neither adequate nor inadequate,Not at all,1.406,39.472,40.206,11,Decreased,Somewhat safer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,8.258,31.296,32.786,15,8,5,2.588,47.895,48.701,18,1-Least Fair,8,Yes,A great deal,A great deal,Extremely important,"Yes, even without direct U.S. interest",Somewhat familiar,4.601,30.934,31.929,9,Somewhat reliable,Somewhat fair,Somewhat effective,Somewhat unbiased,AI application in campaign finance,Expressing opinions on a political issue|Immigration policy and law enforcement|A case decided by the U.S. Supreme Court|AI application in campaign finance,68110e70-b0aa-cd57-a997-0e18e35d119d,78207,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
67.240.229.90,1,Yes,Female,,1941,White,Not Hispanic or Latino,Associates or technical degree,Retired,"$25,000-$49,999",New York,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Moderate,Independent,Republican candidate,No,,6.327,42.534,43.6,7,Illegal in all cases,Not sure,Somewhat easy,About what it is now,A moderate population,Very adequate,Not at all,36.515,69.493,70.182,9,Decreased,Somewhat safer,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,15.085,29.16,31.812,7,5,10 -Very Likely,42.847,58.379,59.475,5,8,7,No,A moderate amount,Some,Not very important,"Yes, even without direct U.S. interest",Never heard of it,18.865,43.245,44.212,8,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,Immigration policy and law enforcement|AI application in campaign finance|A case decided by the U.S. Supreme Court|Expressing opinions on a political issue,68110e03-0fa8-129f-66ab-056f475be6a4,13413,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
24.100.143.210,0.699999988,Yes,Female,,1988,White,Not Hispanic or Latino,"Some college, but no degree",Working full-time,"Less than $25,000",Illinois,Rural,,No - I am here on visa.,,Facebook,,Prefer not to answer,Strong Republican,Republican candidate,No,,0.849,26.959,32.363,13,Legal  in all cases,Legal,Somewhat difficult,Easier than it is now,A small population,Not at all adequate,Not at all,9.519,35.516,35.806,30,About the same,Much more dangerous,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22.361,35.286,35.539,9,1-Not Very Likely,3,6.15,30.255,30.918,26,5,5,No,Not at all,None at all,Not important at all,Only if it serves U.S. interests,Very familiar,19.361,23.698,34.945,11,Somewhat reliable,Somewhat unfair,Neutral,Somewhat unbiased,AI application in campaign finance,Immigration policy and law enforcement|AI application in campaign finance|A case decided by the U.S. Supreme Court|Expressing opinions on a political issue,68110de0-d6c9-66d6-4cc1-706005c37c43,62568,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
68.53.18.247,1,Yes,Male,,1947,White,Not Hispanic or Latino,Bachelor’s degree,Retired,"$25,000-$49,999",Tennessee,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,None,,Somewhat Conservative,Lean Republican,Neither - did not vote/voted for an independent candidate,No,,7.134,34.037,35.911,4,Illegal in most cases,Not sure,Somewhat difficult,About what it is now,A moderate population,Neither adequate nor inadequate,Somewhat,12.203,175.494,177.177,6,About the same,About the same,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,18.147,25.373,32.593,2,10 -Very Likely,1-Not Very Likely,49.252,62.9,64.989,3,10-Most Fair,8,Yes,A moderate amount,Very little,Very important,Only if it serves U.S. interests,"Heard of it, but don’t know much",17.783,28.777,32.69,4,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court|AI application in campaign finance,68110d32-6496-a646-9d68-75c3ffc34790,37056,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-1L8C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
24.117.60.74,1,Yes,Female,,1957,White,Not Hispanic or Latino,Associates or technical degree,Retired,"$25,000-$49,999",Arizona,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Very Concservative,Strong Republican,Republican candidate,No,,47.125,69.437,71.256,4,Illegal in most cases,Not sure,Somewhat easy,Harder than it is now,A moderate population,Somewhat inadequate,Not at all,21.855,48.546,50.019,6,Increased,Somewhat more dangerous,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,11.789,17.53,33.32,2,7,5,30.3,42.402,43.913,3,9,9,No,A moderate amount,Some,Somewhat important,Only if it serves U.S. interests,Never heard of it,27.699,38.204,40.084,4,Somewhat reliable,Somewhat fair,Somewhat effective,Somewhat biased,AI application in campaign finance,Expressing opinions on a political issue|AI application in campaign finance|A case decided by the U.S. Supreme Court|Immigration policy and law enforcement,68110e7c-a8a3-ada0-9014-191b658c17d7,86303,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Friends|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
68.134.124.94,0.8999999761581421,Yes,Male,,1948,White,Not Hispanic or Latino,Bachelor’s degree,Retired,"$75,000-$99,999",Maryland,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Moderate,Democrat,Democratic candidate,No,,27.499,40.686,42.171,4,Legal  in all cases,Legal,Somewhat easy,About what it is now,A small population,Somewhat adequate,Somewhat,15.112,31.357,33.086,6,About the same,About the same,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,9.782,13.927,32.229,2,7,7,25.731,32.886,35.241,3,9,5,No,Not too much,Some,Extremely important,"Yes, even without direct U.S. interest",Somewhat familiar,17.001,24.772,32.539,4,Neutral,Somewhat unfair,Somewhat ineffective,Somewhat biased,AI application in campaign finance,AI application in campaign finance|A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|Immigration policy and law enforcement,68110f0b-e92d-d2fe-da11-947742ef2705,21117,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
98.170.226.38,0.8999999761581421,Yes,Female,,1957,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$50,000-$74,999",Florida,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,None,,Somewhat Conservative,Republican,Republican candidate,No,,0.995,43.121,44.026,11,Illegal in most cases,Illegal,Somewhat easy,Harder than it is now,A moderate population,Neither adequate nor inadequate,Not at all,14.273,30.711,31.34,12,Decreased,Somewhat safer,Agree,Agree,Agree,Agree,8.28,31.29,31.979,7,5,5,2.281,35.316,36.222,9,5,3,Yes,Not too much,None at all,Not important at all,"No, the U.S. should stay out",Somewhat familiar,3.116,21.701,123.563,16,Very unreliable,Very unreliableVery unfair,Very ineffective,Extremely biased,AI application in campaign finance,AI application in campaign finance|Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court,68110e84-d165-4636-b50a-e8b4e7f836d8,32536,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-StudentOrg|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
208.73.42.123,0.800000012,Yes,Male,,1977,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,"$25,000-$49,999",Alabama,Urban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Very Liberal,Strong Republican,Republican candidate,No,,15.284,32.236,33.369,5,Legal in most cases,Legal,Somewhat difficult,Harder than it is now,A large population,Very adequate,Somewhat,5.658,17.522,35.84,6,Increased,Much more safer,Agree,Strongly agree,Agree,Strongly agree,1.7,3.044,36.239,2,9,10 -Very Likely,3.559,27.359,34.964,5,9,10-Completely trust,Yes,A great deal,A great deal,Very important,Only if it serves U.S. interests,Very familiar,6.06,24.932,35.809,4,Very reliable,Very fair,Somewhat effective,Somewhat biased,AI application in campaign finance,AI application in campaign finance|Expressing opinions on a political issue|Immigration policy and law enforcement|A case decided by the U.S. Supreme Court,68110f2a-9bf2-b6ee-4df1-10eed22017c3,36067,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
63.140.88.247,1,Yes,Female,,1958,White,Not Hispanic or Latino,Bachelor’s degree,Working part-time,"Less than $25,000",Alaska,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Somewhat Conservative,Republican,Republican candidate,No,,47.761,88.75,90.498,4,Illegal in most cases,Not sure,Somewhat easy,Harder than it is now,A small population,Neither adequate nor inadequate,Not at all,29.674,73.366,74.116,6,Increased,Somewhat more dangerous,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,14.355,18.42,33.256,2,4,10 -Very Likely,39.375,49.44,50.628,3,9,10-Completely trust,No,A great deal,Some,Very important,"Yes, even without direct U.S. interest","Heard of it, but don’t know much",15.499,33.53,35.025,4,Very reliable,Very fair,Very effective,Neutral,AI application in campaign finance,Immigration policy and law enforcement|A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|AI application in campaign finance,68110eaa-011f-b7b9-2b60-773999a4d4ef,99701,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-1L8C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
172.59.121.93,1,Yes,Male,,1977,White,Not Hispanic or Latino,High school diploma or GED,Other,"$50,000-$74,999",Oklahoma,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Moderate,Independent,Neither - did not vote/voted for an independent candidate,No,,11.995,80.737,81.521,11,Legal in most cases,Not sure,Somewhat difficult,Easier than it is now,Not at all,Neither adequate nor inadequate,Not at all,3.793,31.067,31.046,15,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.183,31.522,32.134,12,5,5,113.897,155.25,159.146,15,1-Least Fair,5,Yes,A moderate amount,A great deal,Somewhat important,Only if it serves U.S. interests,Never heard of it,1.902,30.241,31.509,18,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,A case decided by the U.S. Supreme Court|Immigration policy and law enforcement|Expressing opinions on a political issue|AI application in campaign finance,68110e60-3dba-c0e5-79c5-f2154463fbcd,74571,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Friends|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
51.81.211.214,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68111069-7bb9-c4d8-34a8-45d15ef73129,40202,,,,,,
66.213.14.20,0.8999999761581421,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681110dd-4413-3944-8d24-5e1b19e4ec3d,44035,,,,,,
199.38.77.170,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68111111-8ac6-f03d-eb76-0e04bab1506a,45672,,,,,,
68.42.33.29,0.5,Yes,Female,,1963,Black or African American,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$75,000-$99,999",Alabama,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Moderate,Strong Democrat,Democratic candidate,No,,31.498,111.24,112.3,26,Legal  in all cases,Legal,Very difficult,Easier than it is now,Not at all,Very adequate,Not at all,50.127,175.551,180.538,18,About the same,About the same,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,2.629,24.384,31.9,15,8,1-Not Very Likely,2.098,113.393,114.356,27,10-Most Fair,7,No,Not too much,Very little,Extremely important,Only if it serves U.S. interests,"Heard of it, but don’t know much",4.142,130.876,131.847,20,Somewhat unreliable,Somewhat fair,Somewhat ineffective,Neutral,AI application in campaign finance,Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court|AI application in campaign finance,68110dc8-2001-8385-bbd1-4bf64f1142ba,35811,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
47.160.241.11,0.8999999761581421,Yes,Female,,1956,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$25,000-$49,999",Texas,Urban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,None,,Moderate,Independent,Democratic candidate,No,,37.524,61.615,63.878,4,Legal  in all cases,Legal,Very difficult,Easier than it is now,A moderate population,Very adequate,Significantly impacted,26.446,86.114,88.283,7,About the same,Somewhat more dangerous,Strongly disagree,Strongly disagree,Disagree,Agree,17.932,24.222,31.866,2,7,10 -Very Likely,33.968,49.101,51.101,7,10-Most Fair,5,Yes,Not at all,Some,Somewhat important,Only if it serves U.S. interests,"Heard of it, but don’t know much",14.913,39.236,40.009,5,Neutral,Neutral,Somewhat ineffective,Somewhat unbiased,AI application in campaign finance,A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|Immigration policy and law enforcement|AI application in campaign finance,68110ede-2270-cbd0-7fa7-fbcf7bab51aa,76903,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-StudentOrg|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
162.229.142.121,0.8999999761581421,Yes,Female,,1954,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$100,000-$149,999",Mississippi,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Very Concservative,Republican,Republican candidate,No,,14.98,85.106,86.192,13,Illegal in most cases,Illegal,Somewhat easy,Harder than it is now,Not at all,Neither adequate nor inadequate,Not at all,9.233,60.956,62.43,15,Increased,Much more dangerous,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,7.332,34.698,36.052,8,10 -Very Likely,3,7.89,70.833,71.76,14,10-Most Fair,7,Yes,Not too much,None at all,Not important at all,Only if it serves U.S. interests,Somewhat familiar,7.854,34.019,35.176,9,Neutral,Neutral,Neutral,Extremely biased,AI application in campaign finance,A case decided by the U.S. Supreme Court|AI application in campaign finance|Immigration policy and law enforcement|Expressing opinions on a political issue,68110f88-b572-f304-9f11-5a15b618dbba,39525,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Friends|G3-Express|G3-Backlash|Q129,G4-1L8C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
174.226.38.176,0.8999999761581421,Yes,Female,,2006,Black or African American,Not Hispanic or Latino,High school diploma or GED,Working full-time,"$25,000-$49,999",Louisiana,Urban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Instagram,,Moderate,Independent,Neither - did not vote/voted for an independent candidate,No,,0.873,28.06,31.041,13,Legal  in all cases,Legal,Very difficult,Easier than it is now,Not at all,Not at all adequate,Not at all,0.896,53.67,54.401,20,About the same,About the same,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,6.751,27.027,30.699,7,3,7,2.282,28.551,31.098,14,7,5,Yes,Not too much,Some,Very important,Unsure,Never heard of it,2.184,29.983,31.747,11,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,AI application in campaign finance|Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court,68111036-44b7-83a5-4642-a645cbbbf45d,70128,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
70.137.237.43,0.699999988,Yes,Female,,1961,White,Not Hispanic or Latino,"Some college, but no degree",Other,"Less than $25,000",Alabama,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Prefer not to answer,Independent,Neither - did not vote/voted for an independent candidate,No,,35.097,83.636,84.782,12,Legal in most cases,Legal,Somewhat difficult,Easier than it is now,A moderate population,Neither adequate nor inadequate,Not at all,25.52,62.649,63.505,11,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,13.46,25.671,33.014,7,1-Not Very Likely,1-Not Very Likely,35.208,69.524,70.53,9,10-Most Fair,8,No,Not too much,Very little,Very important,Only if it serves U.S. interests,Never heard of it,24.301,74.304,75.131,19,Somewhat unreliable,Somewhat unfair,Somewhat effective,Neutral,AI application in campaign finance,Immigration policy and law enforcement|A case decided by the U.S. Supreme Court|AI application in campaign finance|Expressing opinions on a political issue,68110f0e-f620-466b-7028-b8752e649283,36301,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
